                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.73052,                0.32143,                0.96131,                0.96723,                0.97313,                0.98755,                 0.9527,                0.31111,                0.25329,                0.80456,             0.00015143,             0.00015143,             0.00015143
                     62,                0.72763,                0.31077,                0.96332,                0.96467,                0.97731,                0.98801,                 0.9541,                 0.3136,                0.25337,                0.80685,             0.00013729,             0.00013729,             0.00013729
                     63,                0.71808,                0.30918,                0.95815,                 0.9773,                0.96017,                0.98791,                0.95188,                0.32482,                0.25964,                0.80685,             0.00012314,             0.00012314,             0.00012314
                     64,                0.70373,                0.30194,                0.94799,                0.97167,                0.97033,                0.98859,                0.95446,                0.31575,                0.25164,                0.80359,               0.000109,               0.000109,               0.000109
                     65,                0.70752,                0.30187,                 0.9527,                0.97392,                0.97015,                0.98909,                0.95392,                0.32222,                0.25222,                0.80854,             9.4857e-05,             9.4857e-05,             9.4857e-05
                     66,                0.69855,                0.29908,                0.95073,                 0.9807,                0.96436,                 0.9889,                0.95497,                0.31626,                0.24753,                0.80764,             8.0714e-05,             8.0714e-05,             8.0714e-05
                     67,                0.69113,                0.29518,                 0.9496,                0.97797,                0.96604,                0.98896,                0.95445,                0.31856,                0.24963,                0.80564,             6.6571e-05,             6.6571e-05,             6.6571e-05
                     68,                0.68227,                0.29153,                0.94177,                 0.9809,                0.96482,                0.98889,                0.95718,                0.30995,                0.24291,                0.80525,             5.2429e-05,             5.2429e-05,             5.2429e-05
                     69,                0.67197,                0.29016,                0.94059,                0.97506,                0.96898,                0.98867,                0.95662,                0.30958,                0.24409,                0.80498,             3.8286e-05,             3.8286e-05,             3.8286e-05
                     70,                0.68169,                 0.2913,                0.94356,                0.97404,                0.97045,                0.98882,                0.95671,                 0.3105,                 0.2426,                0.80628,             2.4143e-05,             2.4143e-05,             2.4143e-05
